chr_base	start_base	end_base	name_base	A1_reads_base	A2_reads_base	total_reads_base	allelic_score_base	allelic_ratio_base	chr_target	start_target	end_target	name_target	A1_reads_target	A2_reads_target	total_reads_target	allelic_score_target	allelic_ratio_target	mechanism	linkage_score
chr12	20766348	20924161	Gm6626	334	42	376	57.152	0.89	chr12	20873363	20920930	3110053B16Rik	257	23	280	50.779	0.92	enhancing	1.66
chr2	156378144	156401480	Gm14170	688	253	941	46.707	0.73	chr2	156388062	156392979	2900097C17Rik	676	235	911	49.698	0.74	enhancing	1.66
chr7	143106741	143427050	Kcnq1	11	246	257	-58.531	0.04	chr7	143213110	143296547	Kcnq1ot1	1	159	160	-45.958	0.01	enhancing	1.62
chr1	125676995	125873862	Gpr39	707	286	993	41.342	0.71	chr1	125867621	125913151	Lypd1	708	281	989	42.712	0.72	enhancing	1.61
chr7	59228749	59306733	Ube3a	128	1399	1527	-270.065	0.08	chr7	59333159	59347582	Gm22496	2	180	182	-50.566	0.01	enhancing	1.59
chr7	61010263	61090414	A230006K03Rik	17	884	901	-235.606	0.02	chr7	61090433	61161581	Gm38451	1	129	130	-37.017	0.01	enhancing	1.56
chr7	59969576	59974431	Snhg14	0	115	115	-34.618	0	chr7	59982500	60005156	Snurf	0	2277	2277	-294.004	0	enhancing	1.55
chr7	59969576	59974431	Snhg14	0	115	115	-34.618	0	chr7	59982501	60140219	Snrpn	1	2486	2487	-294.004	0	enhancing	1.55
chr7	61090433	61161581	Gm38451	1	129	130	-37.017	0.01	chr7	61197064	61311768	Gm31445	10	284	294	-70.431	0.03	enhancing	1.55
chr11	99415663	99422593	Krt12	265	43	308	39.751	0.86	chr11	99417137	99425499	LOC101056001	532	53	585	100.084	0.91	enhancing	1.53
chr1	36714537	36757960	4933424G06Rik	112	3	115	29.214	0.97	chr1	36714601	36744792	Gm33533	112	2	114	30.501	0.98	enhancing	1.47
chr7	60833595	60922937	Gm29729	0	96	96	-28.899	0	chr7	61010263	61090414	A230006K03Rik	17	884	901	-235.606	0.02	enhancing	1.45
chr16	13818829	13835450	Ntan1	473	196	669	26.91	0.71	chr16	13833160	13903145	Pdxdc1	603	261	864	31.502	0.7	enhancing	1.43
chr5	98329041	98802053	1700007G11Rik	155	11	166	33.266	0.93	chr5	98475555	98475664	Mir703	144	0	144	43.348	1	enhancing	1.43
chr7	83584289	83626852	Tmc3	162	21	183	27.744	0.89	chr7	83596597	83631926	Gm16638	226	22	248	43.401	0.91	enhancing	1.43
chr5	28005941	28123931	Gm35223	527	228	755	27.687	0.7	chr5	28071411	28078662	Insig1	481	181	662	31.881	0.73	enhancing	1.41
chr11	99417137	99425499	LOC101056001	532	53	585	100.084	0.91	chr11	99428384	99438153	Krt20	115	2	117	31.381	0.98	enhancing	1.4
chr17	35994503	36038174	A930015D03Rik	367	26	393	77.792	0.93	chr17	36003991	36020845	H2-T24	165	23	188	27.246	0.88	enhancing	1.38
chr7	61705849	61927574	A230057D06Rik	103	985	1088	-180.862	0.09	chr7	61943900	61982303	A330076H08Rik	7	110	117	-24.497	0.06	enhancing	1.36
chr11	99415663	99422593	Krt12	265	43	308	39.751	0.86	chr11	99428384	99438153	Krt20	115	2	117	31.381	0.98	enhancing	1.33
chr4	129600690	129608533	Tmem234	707	310	1017	35.881	0.7	chr4	129619273	129623908	Ccdc28b	386	169	555	20.112	0.7	enhancing	1.32
chr7	59228749	59306733	Ube3a	128	1399	1527	-270.065	0.08	chr7	59307923	59324149	C230091D08Rik	182	38	220	23.307	0.83	repressing	1.26
chr10	70599777	70680214	LOC108167819	24	125	149	-17.25	0.16	chr10	70601048	70655963	D630013N20Rik	18	112	130	-17.351	0.14	enhancing	1.24
chr7	6674443	6696541	Zim1	159	25	184	24.628	0.86	chr7	6703891	6730441	Peg3	52	4733	4785	-294.004	0.01	repressing	1.23
chr7	6674443	6696541	Zim1	159	25	184	24.628	0.86	chr7	6706759	6707624	Peg3os	4	694	698	-200.125	0.01	repressing	1.23
chr7	6674443	6696541	Zim1	159	25	184	24.628	0.86	chr7	6730559	6967220	Usp29	9	688	697	-189.805	0.01	repressing	1.23
chr17	33974658	33978791	H2-K2	66	2	68	17.1	0.97	chr17	33981491	33985358	AA388235	57	0	57	17.159	1	enhancing	1.22
chr1	36691486	36693388	Cox5b	672	207	879	57.577	0.76	chr1	36714537	36757960	4933424G06Rik	112	3	115	29.214	0.97	enhancing	1.17
chr1	36691486	36693388	Cox5b	672	207	879	57.577	0.76	chr1	36714601	36744792	Gm33533	112	2	114	30.501	0.98	enhancing	1.17
chr14	64104322	64113751	Prss52	24	112	136	-14.363	0.18	chr14	64116232	64127625	9630015K15Rik	21	106	127	-14.426	0.17	enhancing	1.17
chr17	33951998	33955641	Rps18	422	47	469	76.035	0.9	chr17	33974658	33978791	H2-K2	66	2	68	17.1	0.97	enhancing	1.17
chr1	164858685	164900207	Gm32652	117	13	130	21.666	0.9	chr1	164863120	164871438	Gm20743	66	4	70	15.083	0.94	enhancing	1.16
chr7	59307923	59324149	C230091D08Rik	182	38	220	23.307	0.83	chr7	59333159	59347582	Gm22496	2	180	182	-50.566	0.01	repressing	1.16
chr18	12953397	12962658	Gm36490	91	11	102	16.4	0.89	chr18	12962941	12992950	Impact	296	1342	1638	-158.471	0.18	repressing	1.15
chr17	33951998	33955641	Rps18	422	47	469	76.035	0.9	chr17	33981491	33985358	AA388235	57	0	57	17.159	1	enhancing	1.13
chr17	30626935	30875762	Dnah8	2	129	131	-35.498	0.02	chr17	30848426	30859232	Gm41561	2	51	53	-12.799	0.04	enhancing	1.12
chr10	70601048	70655963	D630013N20Rik	18	112	130	-17.351	0.14	chr10	70626727	70635263	Gm40688	10	73	83	-12.538	0.12	enhancing	1.11
chr11	5106264	5152297	Emid1	217	89	306	13.067	0.71	chr11	5112391	5131907	LOC108167879	168	57	225	13.466	0.75	enhancing	1.1
chr11	59197792	59202431	2610507I01Rik	156	12	168	32.69	0.93	chr11	59211411	59228267	Arf1	481	206	687	25.825	0.7	enhancing	1.1
chr15	72589619	73061244	Trappc9	620	5329	5949	-294.004	0.1	chr15	73101624	73184947	Ago2	365	149	514	21.522	0.71	repressing	1.1
chr3	107873857	107892900	Eps8l3	335	20	355	74.457	0.94	chr3	107926333	107931871	Gstm7	11	80	91	-13.656	0.12	repressing	1.1
chr3	107888849	107896213	4933431E20Rik	519	33	552	113.019	0.94	chr3	107926333	107931871	Gstm7	11	80	91	-13.656	0.12	repressing	1.1
chr10	70599777	70680214	LOC108167819	24	125	149	-17.25	0.16	chr10	70626727	70635263	Gm40688	10	73	83	-12.538	0.12	enhancing	1.09
chr11	109932567	109995840	Abca8b	633	221	854	46.335	0.74	chr11	110025633	110097582	Abca8a	101	8	109	21.198	0.93	enhancing	1.09
chr17	6256861	6308314	Tmem181a	103	22	125	13.299	0.82	chr17	6306343	6317474	Dynlt1a	112	29	141	12.282	0.79	enhancing	1.09
chr4	150236725	150248873	Eno1	2098	164	2262	294.004	0.93	chr4	150315146	150315616	LOC102638183	46	0	46	13.847	1	enhancing	1.09
chr6	85843820	85845390	Gm9769	47	0	47	14.148	1	chr6	85865421	85869137	Nat8f2	7	80	87	-16.384	0.08	repressing	1.09
chr14	54941920	54968017	Myh6	75	235	310	-19.94	0.24	chr14	54970683	54994549	Myh7	105	24	129	12.853	0.81	repressing	1.08
chr7	62193479	62279110	Gm9801	2	46	48	-11.379	0.04	chr7	62337786	62423821	Gm32061	5	324	329	-88.539	0.02	enhancing	1.07
chr7	62193479	62279110	Gm9801	2	46	48	-11.379	0.04	chr7	62348276	62349928	Ndn	4	309	313	-85.623	0.01	enhancing	1.06
chr14	64099294	64104235	4930471C04Rik	6	56	62	-10.828	0.1	chr14	64111198	64115980	Gm17116	5	60	65	-12.614	0.08	enhancing	1.05
chr14	64111198	64115980	Gm17116	5	60	65	-12.614	0.08	chr14	64116232	64127625	9630015K15Rik	21	106	127	-14.426	0.17	enhancing	1.03
chr17	33951998	33955641	Rps18	422	47	469	76.035	0.9	chr17	33996011	34000341	H2-K1	108	26	134	12.65	0.81	enhancing	1.03
chr14	64104322	64113751	Prss52	24	112	136	-14.363	0.18	chr14	64111198	64115980	Gm17116	5	60	65	-12.614	0.08	enhancing	1.02
chr16	14892466	14949676	Gm33696	76	16	92	10.097	0.83	chr16	14906259	14965910	Efcab1	89	21	110	10.725	0.81	enhancing	1.02
chr19	55099542	55118931	Gm31356	123	485	608	-51.325	0.2	chr19	55198097	55241236	Gucy2g	65	7	72	12.458	0.9	repressing	1.02
chr4	129353631	129378028	Zbtb8a	95	18	113	13.4	0.84	chr4	129354276	129357584	LOC108168979	53	2	55	13.369	0.96	enhancing	1.02
chr4	106658201	106678969	Ttc4	511	182	693	36.595	0.74	chr4	106680416	106736616	Mroh7	88	19	107	11.373	0.82	enhancing	1.01
chr14	20294679	20317584	Nudt13	237	90	327	15.98	0.72	chr14	20384637	20388910	Dnajc9	106	30	136	10.719	0.78	enhancing	1
chr14	54968786	54974349	Mhrt	68	13	81	9.72	0.84	chr14	54970683	54994549	Myh7	105	24	129	12.853	0.81	enhancing	1
chr14	64099294	64104235	4930471C04Rik	6	56	62	-10.828	0.1	chr14	64116232	64127625	9630015K15Rik	21	106	127	-14.426	0.17	enhancing	1
chr10	88357321	88371636	Gm40734	121	12	133	23.409	0.91	chr10	88368051	88379133	Gm40733	74	14	88	10.594	0.84	enhancing	0.99
chr14	64099294	64104235	4930471C04Rik	6	56	62	-10.828	0.1	chr14	64104322	64113751	Prss52	24	112	136	-14.363	0.18	enhancing	0.99
chr11	11930498	12037422	Grb10	21	301	322	-64.233	0.07	chr11	11958405	11967116	LOC102631979	9	60	69	-9.95	0.13	enhancing	0.98
chr6	142410175	142419740	Spx	75	15	90	10.338	0.83	chr6	142490248	142507957	Ldhb	1216	386	1602	99.55	0.76	enhancing	0.98
chr10	88091071	88092374	Pmch	26	111	137	-13.28	0.19	chr10	88091397	88146946	Parpbp	3	103	106	-26.611	0.03	enhancing	0.97
chr15	74994876	74998031	Ly6a	76	15	91	10.562	0.84	chr15	75044017	75048853	Ly6c1	137	10	147	29.242	0.93	enhancing	0.97
chr14	54941920	54968017	Myh6	75	235	310	-19.94	0.24	chr14	54968786	54974349	Mhrt	68	13	81	9.72	0.84	repressing	0.95
chr17	33974658	33978791	H2-K2	66	2	68	17.1	0.97	chr17	33996011	34000341	H2-K1	108	26	134	12.65	0.81	enhancing	0.95
chr9	50521616	50528641	Pts	136	54	190	8.923	0.72	chr9	50554704	50581841	Il18	235	69	304	21.915	0.77	enhancing	0.95
chr10	130385799	130394241	Vmn2r84	32	1	33	8.403	0.97	chr10	130471820	130497379	Vmn2r87	36	0	36	10.837	1	enhancing	0.94
chr17	31255018	31277356	Rsph1	21	160	181	-27.247	0.12	chr17	31258195	31259681	Gm30090	6	43	49	-7.543	0.12	enhancing	0.93
chr12	20766348	20924161	Gm6626	334	42	376	57.152	0.89	chr12	20804388	20815779	1700030C10Rik	49	8	57	7.867	0.86	enhancing	0.92
chr15	74966930	75044924	Gm28068	107	35	142	9.252	0.75	chr15	74994876	74998031	Ly6a	76	15	91	10.562	0.84	enhancing	0.92
chr17	33981491	33985358	AA388235	57	0	57	17.159	1	chr17	33996011	34000341	H2-K1	108	26	134	12.65	0.81	enhancing	0.92
chr4	107689599	107744284	LOC102633724	30	1	31	7.827	0.97	chr4	107698159	107736535	Gm31682	27	0	27	8.128	1	enhancing	0.92
chr4	149125033	149126763	Cort	4	39	43	-7.809	0.09	chr4	149128348	149137600	Apitd1	22	161	183	-26.874	0.12	enhancing	0.92
chr7	27859825	27903063	Zfp607	95	31	126	8.318	0.75	chr7	27959799	27979157	Zfp780b	163	70	233	9.297	0.7	enhancing	0.92
chr7	60833595	60922937	Gm29729	0	96	96	-28.899	0	chr7	60923151	60961459	Gm30829	0	24	24	-7.225	0	enhancing	0.92
chr1	46065793	46373551	Dnah7b	78	17	95	10.086	0.82	chr1	46424244	46807477	Dnah7c	59	3	62	14.064	0.95	enhancing	0.91
chr9	78175913	78178882	C920006O11Rik	53	4	57	11.529	0.93	chr9	78191965	78209349	Gsta4	175	54	229	15.665	0.76	enhancing	0.91
chr11	97703433	97713500	Psmb3	124	36	160	12.095	0.78	chr11	97777525	97782439	Rpl23	93	32	125	7.661	0.74	enhancing	0.9
chr7	60923151	60961459	Gm30829	0	24	24	-7.225	0	chr7	61010263	61090414	A230006K03Rik	17	884	901	-235.606	0.02	enhancing	0.9
chr12	20804388	20815779	1700030C10Rik	49	8	57	7.867	0.86	chr12	20873363	20920930	3110053B16Rik	257	23	280	50.779	0.92	enhancing	0.89
chr16	20651651	20663414	Psmd2	117	47	164	7.648	0.71	chr16	20717825	20722272	Polr2h	118	37	155	10.63	0.76	enhancing	0.89
chr3	138089854	138143461	Mttp	138	49	187	10.575	0.74	chr3	138143516	138159821	Trmt10a	92	34	126	6.927	0.73	enhancing	0.89
chr7	45207524	45212604	Dkkl1	93	14	107	15.056	0.87	chr7	45240752	45273365	Slc6a16	4	37	41	-7.29	0.1	repressing	0.89
chr10	128490858	128493886	Myl6	883	307	1190	64.553	0.74	chr10	128499246	128504242	A430046D13Rik	105	42	147	6.982	0.71	enhancing	0.88
chr1	125676995	125873862	Gpr39	707	286	993	41.342	0.71	chr1	125913635	126830900	Nckap5	112	49	161	6.425	0.7	enhancing	0.86
chr13	62630174	62633775	LOC108168091	31	2	33	7.184	0.94	chr13	62696952	62724217	Platr25	11	79	90	-13.41	0.12	repressing	0.86
chr3	135281220	135304426	Bdh2	14	54	68	-6.256	0.21	chr3	135307691	135342845	Slc9b2	65	17	82	7.349	0.79	repressing	0.86
chr7	45677685	45694402	Sec1	67	21	88	6.337	0.76	chr7	45684021	45694556	Ntn5	67	20	87	6.667	0.77	enhancing	0.86
chr7	119730803	119739429	Gm39080	635	234	869	43.062	0.73	chr7	119739893	119742244	Gm5601	47	0	47	14.148	1	enhancing	0.86
chr1	125867621	125913151	Lypd1	708	281	989	42.712	0.72	chr1	125913635	126830900	Nckap5	112	49	161	6.425	0.7	enhancing	0.85
chr1	192136897	192151025	Gm10516	80	18	98	10.081	0.82	chr1	192138059	192143983	Gm30956	44	9	53	6.214	0.83	enhancing	0.85
chr7	62161338	62191142	LOC108167432	1	24	25	-6.111	0.04	chr7	62193479	62279110	Gm9801	2	46	48	-11.379	0.04	enhancing	0.85
chr6	17065148	17105825	Tes	71	24	95	6.135	0.75	chr6	17076260	17171420	LOC108167381	102	30	132	9.947	0.77	enhancing	0.84
chr1	162639149	162649694	Myoc	52	5	57	10.495	0.91	chr1	162647242	162658430	7420461P10Rik	35	5	40	6.16	0.88	enhancing	0.83
chr15	74966930	75044924	Gm28068	107	35	142	9.252	0.75	chr15	75044017	75048853	Ly6c1	137	10	147	29.242	0.93	enhancing	0.83
chr18	62548910	62664341	Spink10	62	18	80	6.39	0.78	chr18	62605897	62741387	Spink13	100	22	122	12.647	0.82	enhancing	0.83
chr7	89917528	89941223	l7Rn6	148	47	195	12.945	0.76	chr7	90029158	90049071	E230029C05Rik	66	22	88	5.842	0.75	enhancing	0.83
chr6	5264619	5298373	Pon2	207	19	226	40.686	0.92	chr6	5383385	5433022	Asb4	32	4	36	6.013	0.89	enhancing	0.82
chr7	27447977	27465981	Blvrb	28	91	119	-8.537	0.24	chr7	27523260	27531180	Hipk4	633	54	687	125.866	0.92	repressing	0.82
chr1	193048659	193100390	Gm39747	50	13	63	5.822	0.79	chr1	193173468	193177837	A130010J15Rik	71	22	93	6.759	0.76	enhancing	0.81
chr14	13828427	13914521	Gm281	26	2	28	5.819	0.93	chr14	13935385	13948495	Gm11100	34	4	38	6.52	0.89	enhancing	0.8
chr2	67445999	67526620	Xirp2	66	22	88	5.842	0.75	chr2	67490930	67516525	Gm13601	62	16	78	7.121	0.79	enhancing	0.8
chr5	26142866	26166842	Gm34067	22	0	22	6.623	1	chr5	26178189	26262756	Gm7361	23	1	24	5.827	0.96	enhancing	0.8
chr7	27838583	27856774	Zfp59	54	16	70	5.534	0.77	chr7	27859825	27903063	Zfp607	95	31	126	8.318	0.75	enhancing	0.8
chr9	59966930	60522174	Thsd4	127	47	174	9.268	0.73	chr9	60523966	60545882	9230112J17Rik	45	3	48	10.183	0.94	enhancing	0.8
chr13	119488038	119610459	Gm7120	50	14	64	5.452	0.78	chr13	119610519	119654359	Ccl28	65	15	80	8.151	0.81	enhancing	0.79
chr3	135281220	135304426	Bdh2	14	54	68	-6.256	0.21	chr3	135282045	135316253	LOC108168902	16	53	69	-5.342	0.23	enhancing	0.79
chr3	135282045	135316253	LOC108168902	16	53	69	-5.342	0.23	chr3	135307691	135342845	Slc9b2	65	17	82	7.349	0.79	repressing	0.79
chr5	120586942	120607243	Iqcd	110	31	141	11.143	0.78	chr5	120594304	120600028	Gm38700	32	1	33	8.403	0.97	enhancing	0.79
chr1	151241600	151251348	LOC108167732	56	13	69	7.075	0.81	chr1	151298478	151344412	LOC108167733	37	8	45	5.114	0.82	enhancing	0.78
chr11	31830464	31837934	Gm39675	1	20	21	-4.979	0.05	chr11	31830505	31838214	Gm12107	1	20	21	-4.979	0.05	enhancing	0.78
chr11	59175563	59183213	Gjc2	57	16	73	6.118	0.78	chr11	59211411	59228267	Arf1	481	206	687	25.825	0.7	enhancing	0.78
chr7	83584289	83626852	Tmc3	162	21	183	27.744	0.89	chr7	83632016	83642328	Stard5	136	57	193	8.206	0.7	enhancing	0.78
chr9	75231722	75309056	Myo5c	99	230	329	-12.727	0.3	chr9	75310332	75315762	LOC102636700	66	24	90	5.264	0.73	repressing	0.77
chr13	119462014	119486120	4833420G17Rik	548	102	650	74.282	0.84	chr13	119488038	119610459	Gm7120	50	14	64	5.452	0.78	enhancing	0.76
chr17	43568080	43612202	Pla2g7	1004	400	1404	59.715	0.72	chr17	43588339	43591509	1700071M16Rik	37	2	39	8.848	0.95	enhancing	0.76
chr4	44121892	44124123	Gm12504	0	31	31	-9.332	0	chr4	44126209	44233643	Rnf38	264	90	354	20.537	0.75	repressing	0.76
chr7	83596597	83631926	Gm16638	226	22	248	43.401	0.91	chr7	83632016	83642328	Stard5	136	57	193	8.206	0.7	enhancing	0.76
chr1	193173468	193177837	A130010J15Rik	71	22	93	6.759	0.76	chr1	193175503	193201546	Traf3ip3	46	14	60	4.675	0.77	enhancing	0.75
chr10	25536385	25673343	Gm29571	50	10	60	7.092	0.83	chr10	25614751	25621965	Gm36908	30	5	35	4.952	0.86	enhancing	0.75
chr7	141461480	141467783	Gm10575	44	13	57	4.628	0.77	chr7	141471859	141475153	Polr2l	53	16	69	5.342	0.77	enhancing	0.75
chr1	193048659	193100390	Gm39747	50	13	63	5.822	0.79	chr1	193175503	193201546	Traf3ip3	46	14	60	4.675	0.77	enhancing	0.74
chr2	36136397	36190284	Mrrf	91	32	123	7.313	0.74	chr2	36191008	36193743	LOC108168747	41	10	51	5.133	0.8	enhancing	0.74
chr11	82900767	82908445	Nle1	50	123	173	-7.859	0.29	chr11	82951348	82964855	Slfn5	63	25	88	4.504	0.72	repressing	0.73
chr11	120345686	120348495	Actg1	573	132	705	65.893	0.81	chr11	120358365	120368173	Fscn2	3	27	30	-5.375	0.1	repressing	0.73
chr11	59175563	59183213	Gjc2	57	16	73	6.118	0.78	chr11	59197792	59202431	2610507I01Rik	156	12	168	32.69	0.93	enhancing	0.72
chr11	78290726	78296805	BC030499	74	31	105	4.786	0.7	chr11	78292842	78301382	Gm3948	68	22	90	6.204	0.76	enhancing	0.72
chr12	20614960	20670691	LOC108167368	52	15	67	5.491	0.78	chr12	20766348	20924161	Gm6626	334	42	376	57.152	0.89	enhancing	0.72
chr4	42979963	43000507	Vcp	1066	112	1178	195.26	0.9	chr4	43046154	43053256	Gm26881	11	44	55	-5.362	0.2	repressing	0.72
chr7	141359177	141365110	B230206H07Rik	178	67	245	12.371	0.73	chr7	141461480	141467783	Gm10575	44	13	57	4.628	0.77	enhancing	0.72
chr7	141460869	141466613	Cracr2b	32	6	38	4.915	0.84	chr7	141471859	141475153	Polr2l	53	16	69	5.342	0.77	enhancing	0.72
chr14	50870468	50877205	Gm26782	103	15	118	16.896	0.87	chr14	50944302	50953412	Pnp	60	20	80	5.368	0.75	enhancing	0.71
chr9	109830152	109831431	3000002C10Rik	49	13	62	5.618	0.79	chr9	109832709	109842974	Nme6	80	34	114	5.009	0.7	enhancing	0.71
chr1	87620311	87720510	Inpp5d	73	26	99	5.906	0.74	chr1	87699778	87724892	Gm33470	55	21	76	4.22	0.72	enhancing	0.7
chr12	24572228	24617391	Grhl1	72	30	102	4.712	0.71	chr12	24679275	24700973	Gm36129	56	22	78	4.126	0.72	enhancing	0.7
chr13	4574074	4586543	Akr1c21	5	32	37	-5.43	0.14	chr13	4592489	4609164	Akr1e1	144	52	196	10.757	0.73	repressing	0.7
chr17	70944701	70970639	LOC108168339	2	71	73	-18.544	0.03	chr17	70993792	71002533	Myl12a	99	37	136	7.29	0.73	repressing	0.7
chr2	174918373	174974406	Gm40017	33	0	33	9.934	1	chr2	175060349	175206924	Gm14391	32	5	37	5.43	0.86	enhancing	0.7
chr7	141460869	141466613	Cracr2b	32	6	38	4.915	0.84	chr7	141461480	141467783	Gm10575	44	13	57	4.628	0.77	enhancing	0.7
chr13	3478302	3492398	2810429I04Rik	57	13	70	7.289	0.81	chr13	3498049	3501393	1700024F13Rik	20	0	20	6.021	1	enhancing	0.69
chr13	67288136	67306412	Zfp457	9	49	58	-7.349	0.16	chr13	67389326	67399767	Zfp429	21	2	23	4.481	0.91	repressing	0.69
chr19	34592887	34662997	Ifit1bl1	64	18	82	6.78	0.78	chr19	34607539	34613409	Ifit3b	34	0	34	10.235	1	enhancing	0.69
chr2	92779421	92848169	Gm39880	8	33	41	-4.251	0.2	chr2	92812946	92915050	Gm13791	21	68	89	-6.524	0.24	enhancing	0.69
chr6	17076260	17171420	LOC108167381	102	30	132	9.947	0.77	chr6	17086609	17094502	Gm4876	24	1	25	6.111	0.96	enhancing	0.69
chr7	51496798	51570320	Gm33190	59	25	84	3.875	0.7	chr7	51510016	51598707	Ano5	91	39	130	5.532	0.7	enhancing	0.69
chr7	141359177	141365110	B230206H07Rik	178	67	245	12.371	0.73	chr7	141460869	141466613	Cracr2b	32	6	38	4.915	0.84	enhancing	0.69
chr9	114368323	114377238	4930520O04Rik	27	5	32	4.248	0.84	chr9	114375130	114390712	Crtap	39	10	49	4.716	0.8	enhancing	0.69
chr17	17843325	17856194	Has1	53	20	73	4.15	0.73	chr17	17850133	17866291	Gm36907	178	51	229	17.249	0.78	enhancing	0.68
chr7	24111897	24127952	Zfp112	100	42	142	6.207	0.7	chr7	24175020	24183170	Zfp114	32	5	37	5.43	0.86	enhancing	0.68
chr11	117867948	117873526	Tha1	60	25	85	4.03	0.71	chr11	117871284	117910509	Gm11725	42	13	55	4.246	0.76	enhancing	0.67
chr11	120725372	120727323	Dcxr	26	5	31	4.017	0.84	chr11	120784259	120789102	Gps1	128	34	162	13.602	0.79	enhancing	0.67
chr13	93674435	93752823	Dmgdh	55	19	74	4.773	0.74	chr13	93706099	93719175	AW495222	30	5	35	4.952	0.86	enhancing	0.67
chr2	21180730	21205365	Enkur	51	20	71	3.819	0.72	chr2	21205356	21215009	Thnsl1	149	64	213	8.563	0.7	enhancing	0.67
chr6	17065148	17105825	Tes	71	24	95	6.135	0.75	chr6	17086609	17094502	Gm4876	24	1	25	6.111	0.96	enhancing	0.67
chr7	122034161	122067086	Ears2	71	31	102	4.332	0.7	chr7	122107261	122132980	Palb2	46	13	59	5.018	0.78	enhancing	0.67
chr10	41538843	41716537	Ccdc162	56	17	73	5.579	0.77	chr10	41718839	41809868	Cep57l1	65	28	93	4.104	0.7	enhancing	0.66
chr10	116473162	116474987	Kcnmb4os2	15	66	81	-8.365	0.19	chr10	116507194	116522581	Gm31593	4	23	27	-3.809	0.15	enhancing	0.65
chr17	6430111	6436296	Dynlt1b	21	3	24	3.858	0.88	chr17	6439001	6450994	Tmem181b-ps	518	35	553	110.935	0.94	enhancing	0.65
chr8	24531891	24576408	Ido2	22	4	26	3.574	0.85	chr8	24602245	24674755	Adam18	20	3	23	3.612	0.87	enhancing	0.65
chr8	92827290	92853421	Mmp2	10	36	46	-4.107	0.22	chr8	92855328	92919279	Lpcat2	162	71	233	8.93	0.7	repressing	0.65
chr10	62383136	62422464	Hkdc1	51	10	61	7.318	0.84	chr10	62422505	62430006	Gm30322	69	29	98	4.483	0.7	enhancing	0.64
