chr_base	start_base	end_base	name_base	name_target	start_target	end_target	linkage_score
chr14	64104322	64113751	Prss52	Gm17116	64111198	64115980	1.02
chr16	14892466	14949676	Gm33696	Efcab1	14906259	14965910	1.02
chr19	55099542	55118931	Gm31356	Gucy2g	55198097	55241236	1.02
chr4	129353631	129378028	Zbtb8a	LOC108168979	129354276	129357584	1.02
chr4	106658201	106678969	Ttc4	Mroh7	106680416	106736616	1.01
chr14	20294679	20317584	Nudt13	Dnajc9	20384637	20388910	1
chr14	54968786	54974349	Mhrt	Myh7	54970683	54994549	1
chr14	64099294	64104235	4930471C04Rik	9630015K15Rik	64116232	64127625	1
chr10	88357321	88371636	Gm40734	Gm40733	88368051	88379133	0.99
chr14	64099294	64104235	4930471C04Rik	Prss52	64104322	64113751	0.99
chr11	11930498	12037422	Grb10	LOC102631979	11958405	11967116	0.98
chr6	142410175	142419740	Spx	Ldhb	142490248	142507957	0.98
chr10	88091071	88092374	Pmch	Parpbp	88091397	88146946	0.97
chr15	74994876	74998031	Ly6a	Ly6c1	75044017	75048853	0.97
chr14	54941920	54968017	Myh6	Mhrt	54968786	54974349	0.95
chr17	33974658	33978791	H2-K2	H2-K1	33996011	34000341	0.95
chr9	50521616	50528641	Pts	Il18	50554704	50581841	0.95
chr10	130385799	130394241	Vmn2r84	Vmn2r87	130471820	130497379	0.94
chr17	31255018	31277356	Rsph1	Gm30090	31258195	31259681	0.93
chr12	20766348	20924161	Gm6626	1700030C10Rik	20804388	20815779	0.92
chr15	74966930	75044924	Gm28068	Ly6a	74994876	74998031	0.92
chr17	33981491	33985358	AA388235	H2-K1	33996011	34000341	0.92
chr4	107689599	107744284	LOC102633724	Gm31682	107698159	107736535	0.92
chr4	149125033	149126763	Cort	Apitd1	149128348	149137600	0.92
chr7	27859825	27903063	Zfp607	Zfp780b	27959799	27979157	0.92
chr7	60833595	60922937	Gm29729	Gm30829	60923151	60961459	0.92
chr1	46065793	46373551	Dnah7b	Dnah7c	46424244	46807477	0.91
chr9	78175913	78178882	C920006O11Rik	Gsta4	78191965	78209349	0.91
chr11	97703433	97713500	Psmb3	Rpl23	97777525	97782439	0.9
chr7	60923151	60961459	Gm30829	A230006K03Rik	61010263	61090414	0.9
chr12	20804388	20815779	1700030C10Rik	3110053B16Rik	20873363	20920930	0.89
chr16	20651651	20663414	Psmd2	Polr2h	20717825	20722272	0.89
chr3	138089854	138143461	Mttp	Trmt10a	138143516	138159821	0.89
chr7	45207524	45212604	Dkkl1	Slc6a16	45240752	45273365	0.89
chr10	128490858	128493886	Myl6	A430046D13Rik	128499246	128504242	0.88
chr1	125676995	125873862	Gpr39	Nckap5	125913635	126830900	0.86
chr13	62630174	62633775	LOC108168091	Platr25	62696952	62724217	0.86
chr3	135281220	135304426	Bdh2	Slc9b2	135307691	135342845	0.86
chr7	45677685	45694402	Sec1	Ntn5	45684021	45694556	0.86
chr7	119730803	119739429	Gm39080	Gm5601	119739893	119742244	0.86
chr1	125867621	125913151	Lypd1	Nckap5	125913635	126830900	0.85
chr1	192136897	192151025	Gm10516	Gm30956	192138059	192143983	0.85
chr7	62161338	62191142	LOC108167432	Gm9801	62193479	62279110	0.85
chr6	17065148	17105825	Tes	LOC108167381	17076260	17171420	0.84
chr1	162639149	162649694	Myoc	7420461P10Rik	162647242	162658430	0.83
chr15	74966930	75044924	Gm28068	Ly6c1	75044017	75048853	0.83
chr18	62548910	62664341	Spink10	Spink13	62605897	62741387	0.83
chr7	89917528	89941223	l7Rn6	E230029C05Rik	90029158	90049071	0.83
chr6	5264619	5298373	Pon2	Asb4	5383385	5433022	0.82
chr7	27447977	27465981	Blvrb	Hipk4	27523260	27531180	0.82
chr1	193048659	193100390	Gm39747	A130010J15Rik	193173468	193177837	0.81
chr14	13828427	13914521	Gm281	Gm11100	13935385	13948495	0.8
chr2	67445999	67526620	Xirp2	Gm13601	67490930	67516525	0.8
chr5	26142866	26166842	Gm34067	Gm7361	26178189	26262756	0.8
chr7	27838583	27856774	Zfp59	Zfp607	27859825	27903063	0.8
chr9	59966930	60522174	Thsd4	9230112J17Rik	60523966	60545882	0.8
chr13	119488038	119610459	Gm7120	Ccl28	119610519	119654359	0.79
chr3	135281220	135304426	Bdh2	LOC108168902	135282045	135316253	0.79
chr3	135282045	135316253	LOC108168902	Slc9b2	135307691	135342845	0.79
chr5	120586942	120607243	Iqcd	Gm38700	120594304	120600028	0.79
chr1	151241600	151251348	LOC108167732	LOC108167733	151298478	151344412	0.78
chr11	31830464	31837934	Gm39675	Gm12107	31830505	31838214	0.78
chr11	59175563	59183213	Gjc2	Arf1	59211411	59228267	0.78
chr7	83584289	83626852	Tmc3	Stard5	83632016	83642328	0.78
chr9	75231722	75309056	Myo5c	LOC102636700	75310332	75315762	0.77
chr13	119462014	119486120	4833420G17Rik	Gm7120	119488038	119610459	0.76
chr17	43568080	43612202	Pla2g7	1700071M16Rik	43588339	43591509	0.76
chr4	44121892	44124123	Gm12504	Rnf38	44126209	44233643	0.76
chr7	83596597	83631926	Gm16638	Stard5	83632016	83642328	0.76
chr1	193173468	193177837	A130010J15Rik	Traf3ip3	193175503	193201546	0.75
chr10	25536385	25673343	Gm29571	Gm36908	25614751	25621965	0.75
chr7	141461480	141467783	Gm10575	Polr2l	141471859	141475153	0.75
chr1	193048659	193100390	Gm39747	Traf3ip3	193175503	193201546	0.74
chr2	36136397	36190284	Mrrf	LOC108168747	36191008	36193743	0.74
chr11	82900767	82908445	Nle1	Slfn5	82951348	82964855	0.73
chr11	120345686	120348495	Actg1	Fscn2	120358365	120368173	0.73
chr11	59175563	59183213	Gjc2	2610507I01Rik	59197792	59202431	0.72
chr11	78290726	78296805	BC030499	Gm3948	78292842	78301382	0.72
chr12	20614960	20670691	LOC108167368	Gm6626	20766348	20924161	0.72
chr4	42979963	43000507	Vcp	Gm26881	43046154	43053256	0.72
chr7	141359177	141365110	B230206H07Rik	Gm10575	141461480	141467783	0.72
chr7	141460869	141466613	Cracr2b	Polr2l	141471859	141475153	0.72
chr14	50870468	50877205	Gm26782	Pnp	50944302	50953412	0.71
chr9	109830152	109831431	3000002C10Rik	Nme6	109832709	109842974	0.71
chr1	87620311	87720510	Inpp5d	Gm33470	87699778	87724892	0.7
chr12	24572228	24617391	Grhl1	Gm36129	24679275	24700973	0.7
chr13	4574074	4586543	Akr1c21	Akr1e1	4592489	4609164	0.7
chr17	70944701	70970639	LOC108168339	Myl12a	70993792	71002533	0.7
chr2	174918373	174974406	Gm40017	Gm14391	175060349	175206924	0.7
chr7	141460869	141466613	Cracr2b	Gm10575	141461480	141467783	0.7
chr13	3478302	3492398	2810429I04Rik	1700024F13Rik	3498049	3501393	0.69
chr13	67288136	67306412	Zfp457	Zfp429	67389326	67399767	0.69
chr19	34592887	34662997	Ifit1bl1	Ifit3b	34607539	34613409	0.69
chr2	92779421	92848169	Gm39880	Gm13791	92812946	92915050	0.69
chr6	17076260	17171420	LOC108167381	Gm4876	17086609	17094502	0.69
chr7	51496798	51570320	Gm33190	Ano5	51510016	51598707	0.69
chr7	141359177	141365110	B230206H07Rik	Cracr2b	141460869	141466613	0.69
chr9	114368323	114377238	4930520O04Rik	Crtap	114375130	114390712	0.69
chr17	17843325	17856194	Has1	Gm36907	17850133	17866291	0.68
chr7	24111897	24127952	Zfp112	Zfp114	24175020	24183170	0.68
chr11	117867948	117873526	Tha1	Gm11725	117871284	117910509	0.67
chr11	120725372	120727323	Dcxr	Gps1	120784259	120789102	0.67
chr13	93674435	93752823	Dmgdh	AW495222	93706099	93719175	0.67
chr2	21180730	21205365	Enkur	Thnsl1	21205356	21215009	0.67
chr6	17065148	17105825	Tes	Gm4876	17086609	17094502	0.67
chr7	122034161	122067086	Ears2	Palb2	122107261	122132980	0.67
chr10	41538843	41716537	Ccdc162	Cep57l1	41718839	41809868	0.66
chr10	116473162	116474987	Kcnmb4os2	Gm31593	116507194	116522581	0.65
chr17	6430111	6436296	Dynlt1b	Tmem181b-ps	6439001	6450994	0.65
chr8	24531891	24576408	Ido2	Adam18	24602245	24674755	0.65
chr8	92827290	92853421	Mmp2	Lpcat2	92855328	92919279	0.65
chr10	62383136	62422464	Hkdc1	Gm30322	62422505	62430006	0.64
chr18	78100090	78142119	Slc14a1	Slc14a2	78146143	78596950	0.64
chr3	135281220	135304426	Bdh2	Slc9b1	135347992	135397827	0.64
chr3	135282045	135316253	LOC108168902	Slc9b1	135347992	135397827	0.64
chr3	135307691	135342845	Slc9b2	Slc9b1	135347992	135397827	0.64
chr7	45595526	45603548	Gm31479	Ntn5	45684021	45694556	0.64
chr9	53667245	53681330	Gm16124	Slc35f2	53771219	53818161	0.64
chr9	83351768	83353979	LOC108167668	Gm2087	83431546	83454574	0.64
chr1	87574026	87597845	Neu2	Inpp5d	87620311	87720510	0.63
chr1	135783032	135810989	Tnni1	Tnnt2	135836314	135852268	0.63
chr11	53980224	53985970	Gm30927	Slc22a4	53983122	54029383	0.63
chr12	109452822	109463336	Dlk1	Gm34081	109493124	109540886	0.63
chr3	152084024	152107383	Gm31881	Gipc2	152093838	152165900	0.63
chr7	45595526	45603548	Gm31479	Sec1	45677685	45694402	0.63
chr1	36714537	36757960	4933424G06Rik	Zap70	36761797	36782821	0.62
chr1	36714601	36744792	Gm33533	Zap70	36761797	36782821	0.62
chr11	94133241	94155770	B230206L02Rik	Gm35338	94140268	94172671	0.62
chr12	109493124	109540886	Gm34081	Meg3	109540995	109571729	0.62
chr12	109493124	109540886	Gm34081	Rian	109603944	109661716	0.62
chr14	54875596	54877538	Ppp1r3e	Myh6	54941920	54968017	0.62
chr17	35512734	35516824	Tcf19	Cchcr1	35517038	35531015	0.62
chr19	42725856	42752824	Pyroxd2	LOC102637720	42778652	42781574	0.62
chr4	103170648	103215368	Slc35d1	4921539E11Rik	103230444	103290953	0.62
chr5	124483075	124491325	Snrnp35	Tmed2	124540790	124550503	0.62
chr1	82448418	82586927	Col4a4	Col4a3	82586920	82722059	0.61
chr1	193040981	193095650	Gm31406	A130010J15Rik	193173468	193177837	0.61
chr1	193040981	193095650	Gm31406	Traf3ip3	193175503	193201546	0.61
chr11	94133241	94155770	B230206L02Rik	Wfikkn2	94235950	94247798	0.61
chr18	49979426	50093229	Tnfaip8	LOC102635912	50041612	50053050	0.61
chr8	92855328	92919279	Lpcat2	Slc6a2	92960417	93001667	0.61
chr18	38238404	38250565	1700086O06Rik	Gnpda1	38327536	38338993	0.6
chr4	117153835	117156132	Rps8	Tmem53	117251950	117268588	0.6
chr8	121851864	121881073	Gm34168	Car5a	121916134	121944912	0.6
chr1	193040981	193095650	Gm31406	Gm39747	193048659	193100390	0.59
chr11	97777525	97782439	Rpl23	Fbxo47	97851557	97884386	0.59
chr14	20384637	20388910	Dnajc9	Mss51	20482856	20496901	0.59
chr14	54875596	54877538	Ppp1r3e	Myh7	54970683	54994549	0.59
chr15	73786935	73839671	Mroh5	LOC102634429	73830047	73839908	0.59
chr3	14606288	14611256	1810022K09Rik	Car13	14641726	14663002	0.59
chr5	123876735	123880020	Hcar1	Ccdc62	123930327	123969895	0.59
chr6	125161720	125166467	Gapdh	Mrpl51	125192199	125194392	0.59
chr7	99859217	99917824	Xrra1	Gm38405	99871364	99917376	0.59
chr1	36691486	36693388	Cox5b	Zap70	36761797	36782821	0.58
chr1	58210396	58268600	Aox4	Aox2	58278325	58379264	0.58
chr11	51650953	51657681	D930048N14Rik	Gm30058	51652089	51657090	0.58
chr11	108425064	108860615	Cep112	LOC108167934	108864078	108912539	0.58
chr18	38105756	38145025	Gm30188	1700086O06Rik	38238404	38250565	0.58
chr18	62548910	62664341	Spink10	Gm36598	62744104	62765941	0.58
chr3	95032687	95042614	Psmd4	Lysmd1	95134087	95139525	0.58
chr7	80956404	80981429	Gm32178	Alpk3	81057469	81105612	0.58
chr9	103250522	103288297	1300017J02Rik	Cdv3	103353101	103365835	0.58
chr14	54875596	54877538	Ppp1r3e	Mhrt	54968786	54974349	0.57
chr17	43534172	43551281	Ankrd66	Pla2g7	43568080	43612202	0.57
chr17	83501916	83514333	Cox7a2l	Gm41635	83545679	83550593	0.57
chr11	94140268	94172671	Gm35338	Wfikkn2	94235950	94247798	0.56
chr11	94507161	94518588	Gm35650	Acsf2	94557101	94601890	0.56
chr13	67779692	67789082	Zfp493	Gm10037	67831035	67844879	0.56
chr17	32905069	32917351	Cyp4f14	Cyp4f41-ps	32950960	32965716	0.56
chr18	20558073	20604526	Dsg2	Gm16090	20597961	20665260	0.56
chr19	46303589	46305623	4833438C02Rik	Tmem180	46356876	46375254	0.56
chr5	149006961	149012776	Gm15408	Hmgb1	149046701	149053057	0.56
chr6	5220851	5256242	Pon3	Pon2	5264619	5298373	0.56
chr11	96464569	96759622	Skap1	Copz2	96849875	96861203	0.55
chr18	37294839	37297614	Pcdhb2	Pcdhb6	37334027	37336346	0.55
chr18	62605897	62741387	Spink13	Gm36598	62744104	62765941	0.55
chr3	96555767	96566801	Gm15441	Txnip	96557956	96561857	0.55
chr6	85865421	85869137	Nat8f2	Nat8f4	85899049	85909428	0.55
chr7	25461701	25477625	Ceacam1	Ceacam2	25516041	25540004	0.55
chr1	42738846	42744791	LOC108167622	Dalir	42750711	42752886	0.54
chr11	97013568	97024739	Sp6	Gm11532	97020507	97026418	0.54
chr16	3943806	3979017	Nlrc3	Dnase1	4036972	4040024	0.54
chr16	33056452	33060189	Rpl35a	Gm38540	33114401	33124023	0.54
chr17	35517038	35531015	Cchcr1	Cdsn	35543081	35557180	0.54
chr3	96555767	96566801	Gm15441	Itga10	96645583	96664519	0.54
chr3	96557956	96561857	Txnip	Itga10	96645583	96664519	0.54
chr3	142560015	142573213	Gbp3	Gm40158	142566589	142569065	0.54
chr8	125685450	125696400	Gm39283	Gm39284	125774061	125790689	0.54
chr16	32332167	32393750	Ubxn7	Tctex1d2	32419684	32429099	0.53
chr7	4784784	4789560	Tmem238	Rpl28	4792887	4794562	0.53
chr1	171345553	171358170	Pfdn2	F11r	171437560	171464593	0.52
chr12	27029886	27083550	Gm30515	Gm20187	27090236	27114995	0.52
chr15	98917968	98942526	Gm41396	4930578M01Rik	98985964	98989281	0.52
chr15	99242816	99251961	Mcrs1	Fam186b	99271017	99295885	0.52
chr5	143890636	143895067	Ankrd61	LOC108169081	143950378	143981212	0.52
chr6	145174871	145211017	Casc1	Gm15706	145250551	145251856	0.52
chr7	122034161	122067086	Ears2	Plk1	122159434	122169884	0.52
chr11	82900767	82908445	Nle1	Slfn5os	82942340	82960681	0.51
chr11	82942340	82960681	Slfn5os	Slfn5	82951348	82964855	0.51
chr15	75909734	75914535	Tigd5	Fam83h	76001091	76014336	0.51
chr17	43534172	43551281	Ankrd66	Tdrd6	43615333	43631351	0.51
chr18	37473545	37476340	Pcdhb15	Pcdhb21	37513651	37516363	0.51
chr19	5305872	5306997	Gm42064	4930481A15Rik	5406814	5422847	0.51
chr2	66412672	66421589	Gm13630	Gm13629	66440879	66547472	0.51
chr3	95893920	95898592	Aph1a	Car14	95897767	95905119	0.51
chr4	153985479	153988488	Gm42361	Trp73	154056248	154140208	0.51
chr9	50521616	50528641	Pts	Pih1d2	50617320	50625000	0.51
chr9	120964453	121286187	Ulk4	Gm34655	121277795	121279883	0.51
chr1	63754908	63769267	4933402D24Rik	Cpo	63851920	63936247	0.5
chr15	98931426	98934560	Tuba1b	4930578M01Rik	98985964	98989281	0.5
chr17	35512734	35516824	Tcf19	Cdsn	35543081	35557180	0.5
chr17	43534172	43551281	Ankrd66	1700071M16Rik	43588339	43591509	0.5
chr6	85843820	85845390	Gm9769	Nat8f4	85899049	85909428	0.5
chr1	82586920	82722059	Col4a3	LOC105243964	82691510	82727201	0.49
chr2	152847963	152895321	Tpx2	Mylk2	152911275	152923065	0.49
chr7	119922670	120095676	Dnah3	Gm40455	119966342	119994747	0.49
chr7	141194111	141210055	Lrrc56	Rassf7	141215629	141218658	0.49
chr1	42598930	42641594	Gm30248	LOC108167622	42738846	42744791	0.48
chr1	165066616	165091930	4930568G15Rik	Tbx19	165137833	165160773	0.48
chr11	59155367	59164589	Iba57	Arf1	59211411	59228267	0.48
chr12	21390328	21417436	Ywhaq	F630048H11Rik	21398602	21409360	0.48
chr12	83987860	83993877	Acot2	Gm40474	84018326	84029448	0.48
chr16	13715056	13731018	Pla2g10	Ntan1	13818829	13835450	0.48
chr17	24632681	24638838	Nthl1	Rps2	24720062	24721927	0.48
chr17	43568080	43612202	Pla2g7	Tdrd6	43615333	43631351	0.48
chr7	122107261	122132980	Palb2	Plk1	122159434	122169884	0.48
chr9	50554704	50581841	Il18	Pih1d2	50617320	50625000	0.48
chr9	72807273	72917307	Prtg	Ccpg1os	72979716	72985376	0.48
chr11	22899727	22983108	Commd1	Fam161a	23006691	23045743	0.47
chr11	78193391	78205763	Proca1	BC030499	78290726	78296805	0.47
chr11	115307162	115332306	Otop2	Gm32013	115397169	115401253	0.47
chr11	115397169	115401253	Gm32013	Atp5h	115415690	115419919	0.47
chr15	98949846	98953501	Tuba1a	4930578M01Rik	98985964	98989281	0.47
chr7	44446892	44451818	Gm39003	Mir7052	44470346	44470411	0.47
chr7	142966821	143008033	Ascl2	Kcnq1	143106741	143427050	0.47
chr1	16065973	16093344	4930444P10Rik	Rpl7	16101294	16104433	0.46
chr1	180256375	180276471	Gm31728	Gm5069	180326968	180330549	0.46
chr11	78193391	78205763	Proca1	Gm3948	78292842	78301382	0.46
chr18	38212111	38229163	2010320O07Rik	1700086O06Rik	38238404	38250565	0.46
chr18	38212111	38229163	2010320O07Rik	Gnpda1	38327536	38338993	0.46
chr9	73101382	73106631	Khdc3	Rsl24d1	73113468	73123333	0.46
chr9	115884670	116076176	Gadl1	Gm9385	116040530	116041123	0.46
chr11	67025153	67035312	Tmem220	Myh3	67078272	67102291	0.45
chr11	115307162	115332306	Otop2	Atp5h	115415690	115419919	0.45
chr15	101221190	101225186	A330009N23Rik	AU021063	101221246	101222155	0.45
chr18	38105756	38145025	Gm30188	2010320O07Rik	38212111	38229163	0.45
chr19	6922425	6925380	Tex40	Fkbp2	6977738	6980501	0.45
chr3	94362443	94364567	C2cd4d	Rorc	94372716	94398276	0.45
chr11	59155367	59164589	Iba57	Gjc2	59175563	59183213	0.44
chr11	96849875	96861203	Copz2	LOC102641351	96862441	96880623	0.44
chr17	36003991	36020845	H2-T24	H2-T22	36038406	36042743	0.44
chr5	120419655	120431772	Gm27199	Sds	120476546	120483932	0.44
chr1	121087404	121120975	Celrr	LOC108167723	121116975	121148039	0.43
chr11	22972004	22976496	Zrsr1	Fam161a	23006691	23045743	0.43
chr12	69197210	69199868	9330151L19Rik	Pole2	69201772	69228247	0.43
chr15	79252612	79256687	Lgals1-ps2	Baiap2l2	79258194	79285532	0.43
chr17	43588339	43591509	1700071M16Rik	Tdrd6	43615333	43631351	0.43
chr14	54369441	54417702	Slc7a7	Rem2	54476099	54480434	0.42
chr17	6904715	6948356	Rsph3b	Tagap1	6954964	6961921	0.42
chr17	6954964	6961921	Tagap1	Rnaset2b	6978859	6998193	0.42
chr4	45799021	45804608	Aldh1b1	Ccdc180	45890302	45950774	0.42
chr10	18743250	18837997	Gm32926	4930444F02Rik	18797298	18831930	0.41
chr11	66905631	66947086	Gm12298	Tmem220	67025153	67035312	0.41
chr11	84449193	84461841	LOC108167915	Lhx1os	84525659	84535831	0.41
chr17	35994503	36038174	A930015D03Rik	H2-T22	36038406	36042743	0.41
chr19	3913490	3930860	Aldh3b1	Doc2g	4003384	4007005	0.41
chr14	54783340	54853947	Rnf212b	Ppp1r3e	54875596	54877538	0.4
chr14	54783340	54853947	Rnf212b	Myh6	54941920	54968017	0.4
chr15	79166065	79216401	Gm10863	Baiap2l2	79258194	79285532	0.4
chr5	115102921	115110268	Rpl37rt	Gm35515	115194377	115205256	0.4
chr6	65117292	65145015	Hpgds	Gm35906	65122406	65127323	0.4
chr7	141359177	141365110	B230206H07Rik	Pidd1	141438112	141445744	0.4
chr1	92908377	92910689	5033417F24Rik	Gpr35	92950859	92986391	0.39
chr14	105589548	105593929	9330188P03Rik	Mir6390	105623641	105623770	0.39
chr16	23515292	23588307	Gm31077	Rtp4	23601292	23614222	0.39
chr17	6904715	6948356	Rsph3b	Rnaset2b	6978859	6998193	0.39
chr3	37312484	37321450	Bbs12	Fgf2	37348476	37404893	0.39
chr1	17098572	17124568	Gm31982	Gm28784	17168401	17173109	0.38
chr15	79166065	79216401	Gm10863	Lgals1-ps2	79252612	79256687	0.38
chr2	155059309	155074497	Ahcy	LOC108168806	155074589	155098791	0.38
chr2	160880669	160906000	Lpin3	Emilin3	160906437	160912339	0.38
chr7	122159434	122169884	Plk1	Chp2	122208620	122222539	0.38
chr7	141438112	141445744	Pidd1	Gm10575	141461480	141467783	0.38
chr7	141438112	141445744	Pidd1	Polr2l	141471859	141475153	0.38
chr11	59155367	59164589	Iba57	2610507I01Rik	59197792	59202431	0.37
chr3	94372716	94398276	Rorc	Oaz3	94433386	94436651	0.37
chr18	67289512	67305817	Gm30321	Tubb6	67390730	67402749	0.36
chr19	40867963	40874072	LOC108168428	E030044B06Rik	40868315	40882639	0.36
chr3	94362443	94364567	C2cd4d	Oaz3	94433386	94436651	0.36
chr6	120093379	120200531	Ninj2	B4galnt3	120200752	120295023	0.36
chr1	125913635	126830900	Nckap5	Gm35562	126046688	126102537	0.35
chr17	47384693	47392967	Guca1b	Guca1a	47394556	47413514	0.35
chr3	107926333	107931871	Gstm7	Gstm4	108030569	108045082	0.35
chr7	122107261	122132980	Palb2	Chp2	122208620	122222539	0.35
chr7	141438112	141445744	Pidd1	Cracr2b	141460869	141466613	0.35
chr8	83566757	83571623	Ndufb7	LOC105246804	83576091	83591856	0.35
chr10	17782890	17796257	Gm20655	Txlnb	17796218	17845663	0.32
chr11	94235950	94247798	Wfikkn2	Abcc3	94343294	94393018	0.32
chr9	121898354	121911075	Ackr2	1700048O20Rik	121937274	121947016	0.32
chr7	83814083	83838259	Gm39043	2310034P14Rik	83883952	83885194	0.31
chr13	15781663	15802630	4933412O06Rik	A530046M15Rik	15807242	15827537	0.3
chr5	114821936	114823468	2610524H06Rik	Gm9936	114855030	114860495	0.3
