chr	start	end	name	A1_reads	A2_reads	total_reads	allelic_score	allelic_ratio
chr1	20890621	20939650	Paqr8	2485	2462	4947	0.423	0.5
chr1	20951549	20990841	Efhc1	24	16	40	0.873	0.6
chr1	21001396	21079225	Tram2	7	10	17	-0.502	0.41
chr1	21166435	21230167	Tmem14a	146	122	268	1.097	0.54
chr1	21189045	21195335	Gm32947	4	8	12	-0.713	0.33
chr1	21207233	21271685	Gm28836	196	123	319	4.587	0.61
chr1	21240584	21265575	Gsta3	72	29	101	4.951	0.71
chr1	21369787	21381308	Gm33147	12	0	12	3.612	1
chr1	21398398	21962650	Kcnq5	533	441	974	2.754	0.55
chr1	22288421	22805724	Rims1	818	686	1504	3.441	0.54
chr1	23366423	23383210	Ogfrl1	1467	1678	3145	-4.046	0.47
chr1	23574442	23596862	Gm28822	3	0	3	0	1
chr1	23761925	23847865	B3gat2	207	168	375	1.606	0.55
chr1	23844824	23922450	Smap1	293	272	565	0.699	0.52
chr1	23978190	23999887	Gm26524	37	76	113	-3.81	0.33
chr1	23995938	24005640	Sdhaf4	73	99	172	-1.55	0.42
chr1	24010757	24100460	Fam135a	195	201	396	-0.397	0.49
chr1	24177588	24252738	Col9a1	12	119	131	-22.888	0.09
chr1	24257682	24587535	Col19a1	321	278	599	1.366	0.54
chr1	24678041	24766301	Lmbrd1	1202	987	2189	5.628	0.55
chr1	25067475	25830205	Adgrb3	702	588	1290	3.085	0.54
chr1	25276403	25277954	Gm20172	5	1	6	0	0.83
chr1	25830418	25837285	LOC108167844	27	14	41	1.526	0.66
chr1	28796144	28895588	LOC108167331	1	1	2	0	0.5
chr1	30121012	30139879	Gm31465	0	1	1	0	0
chr1	30171704	30262611	Gm31525	1	0	1	0	1
chr1	30802341	30873925	Phf3	55	56	111	-0.301	0.5
chr1	30940302	30950181	Ptp4a1	25	17	42	0.854	0.6
chr1	31141077	31222656	4931428L18Rik	6	4	10	0.424	0.6
chr1	32172686	32705224	Khdrbs2	195	97	292	8.297	0.67
chr1	32543545	32547293	Gm5415	0	4	4	0	0
chr1	32738534	32747184	LOC108167822	1	0	1	0	1
chr1	33453807	33669794	Prim2	114	49	163	6.721	0.7
chr1	33669823	33670712	1700001G17Rik	4	1	5	0	0.8
chr1	33714182	33719895	Gm32229	6	11	17	-0.779	0.35
chr1	33719887	33742564	Rab23	379	238	617	8.121	0.61
chr1	33745483	33757750	Bag2	90	77	167	0.753	0.54
chr1	33761540	33815456	Zfp451	345	352	697	-0.387	0.49
chr1	33852051	33907934	Bend6	2230	2204	4434	0.451	0.5
chr1	33873085	33874756	Gm38471	4	1	5	0	0.8
chr1	33908212	34308662	Dst	4767	4511	9278	2.392	0.51
chr1	34166314	34177976	LOC108167617	268	219	487	1.831	0.55
chr1	34436669	34439672	Ccdc115	91	57	148	2.489	0.61
chr1	34439828	34445747	Imp4	119	92	211	1.436	0.56
chr1	34459008	34459827	Gm32504	0	4	4	0	0
chr1	34459745	34473784	Ptpn18	12	91	103	-15.762	0.12
chr1	34474786	34485981	Gm32566	2	3	5	0	0.4
chr1	34477166	34499219	4930568A12Rik	2	4	6	0	0.33
chr1	34535647	34544311	Cfc1	0	1	1	0	0
chr1	34536514	34560995	Prss40	0	1	1	0	0
chr1	34578931	34590944	Amer3	304	291	595	0.507	0.51
chr1	34657235	34667004	Gm38647	3	8	11	-0.946	0.27
chr1	34748271	34757061	LOC108167618	6	10	16	-0.643	0.38
chr1	34759935	34792553	Gm32790	18	9	27	1.214	0.67
chr1	34801721	34812754	Arhgef4	1004	971	1975	0.628	0.51
chr1	34813217	34843050	Fam168b	2072	1787	3859	5.621	0.54
chr1	34849940	34879585	Plekhb2	292	219	511	3.148	0.57
chr1	35869594	35881165	1110002O04Rik	3	0	3	0	1
chr1	36016794	36021488	Gm39623	0	2	2	0	0
chr1	36058717	36066243	Gm39624	2	0	2	0	1
chr1	36068399	36106446	Hs6st1	621	514	1135	3.086	0.55
chr1	36129865	36134928	Gm33280	0	1	1	0	0
chr1	36140027	36244302	Uggt1	580	466	1046	3.629	0.55
chr1	36144251	36144313	Mir6897	0	2	2	0	0
chr1	36264601	36274674	Neurl3	10	2	12	1.715	0.83
chr1	36307732	36324036	Arid5a	52	40	92	0.901	0.57
chr1	36335729	36369193	Kansl3	553	450	1003	3.198	0.55
chr1	36372182	36422110	Fer1l5	92	68	160	1.464	0.58
chr1	36422062	36445272	Lman2l	244	190	434	2.265	0.56
chr1	36464717	36471546	Gm33454	4	3	7	0	0.57
chr1	36471596	36508776	Cnnm4	72	87	159	-0.875	0.45
chr1	36511853	36528237	Cnnm3	306	284	590	0.713	0.52
chr1	36530192	36536556	Ankrd23	41	55	96	-1.036	0.43
chr1	36538170	36547440	Ankrd39	77	58	135	1.218	0.57
chr1	36548638	36558381	Sema4c	101	75	176	1.529	0.57
chr1	36562695	36683190	Fam178b	12	5	17	1.144	0.71
chr1	36691486	36693388	Cox5b	672	207	879	57.577	0.76
chr1	36699199	36710017	Actr1b	966	861	1827	2.126	0.53
chr1	36714537	36757960	4933424G06Rik	112	3	115	29.214	0.97
chr1	36714601	36744792	Gm33533	112	2	114	30.501	0.98
chr1	36761797	36782821	Zap70	18	2	20	3.696	0.9
chr1	36792188	36939874	Tmem131	552	443	995	3.515	0.55
chr1	37028811	37187608	Vwa3b	37	10	47	4.308	0.79
chr1	37132272	37150509	Gm37020	11	3	14	1.542	0.79
chr1	37218240	37263384	Cnga3	2	7	9	0	0.22
chr1	37299837	37410740	Inpp4a	718	955	1673	-8.426	0.43
chr1	37417084	37430103	Coa5	381	290	671	3.6	0.57
chr1	37430138	37439124	Unc50	0	5	5	0	0
chr1	37439339	37541047	Mgat4a	0	1	1	0	0
chr1	37611675	37720090	2010300C02Rik	14	11	25	0.462	0.56
chr1	37653240	37671961	LOC102637336	0	2	2	0	0
chr1	37754569	37866737	Tsga10	0	1	1	0	0
chr1	37890470	37898338	Mrpl30	0	2	2	0	0
chr1	37983866	37997725	Txndc9	0	1	1	0	0
chr1	38052785	38129920	Rev1	3	3	6	0	0.5
chr1	38175392	38628333	Aff3	106	95	201	0.619	0.53
chr1	38472196	38488148	LOC108167619	7	1	8	0	0.88
chr1	38630666	38653368	Gm34596	1	7	8	0	0.12
chr1	38793651	38836715	Lonrf2	1459	1458	2917	0.301	0.5
chr1	38863871	38898263	Chst10	723	558	1281	5.651	0.56
chr1	38939148	38950276	Nms	0	1	1	0	0
chr1	38987813	38997236	Pdcl3	217	137	354	4.905	0.61
chr1	39193714	39363240	Npas2	6	6	12	-0.213	0.5
chr1	39371494	39478775	Tbc1d8	21	23	44	-0.356	0.48
chr1	39535801	39546881	Cnot11	136	111	247	1.199	0.55
chr1	39551293	39577438	Rnf149	71	64	135	0.519	0.53
chr1	39618405	39651182	Creg2	1171	1334	2505	-3.22	0.47
chr1	39650105	39658419	D930019O06Rik	80	79	159	0.301	0.5
chr1	39665298	39720989	Rfx8	5	0	5	0	1
chr1	39900911	40026310	Map4k4	722	610	1332	2.931	0.54
chr1	40076211	40085851	Gm16894	35	9	44	4.276	0.8
chr1	40083307	40125230	Il1r2	15	4	19	2.017	0.79
chr1	40225013	40316201	Il1r1	65	39	104	2.16	0.62
chr1	40324437	40367555	Il1rl2	6	0	6	0	1
chr1	40404863	40465418	Il1rl1	0	8	8	0	0
chr1	40515361	40551707	Il18rap	0	2	2	0	0
chr1	40572182	40580519	Gm35801	1	4	5	0	0.2
chr1	40579712	40630731	Slc9a4	46	34	80	0.962	0.58
chr1	40681711	40768885	Slc9a2	34	54	88	-1.676	0.39
chr1	40770323	40785367	Gm37915	47	38	85	0.715	0.55
chr1	40772039	40790657	Mfsd9	46	32	78	1.153	0.59
chr1	40805572	40856887	Tmem182	0	9	9	0	0
chr1	41743021	41939598	Gm29260	4	6	10	-0.424	0.4
chr1	42257851	42310010	Gm28175	117	66	183	3.998	0.64
chr1	42331815	42350940	LOC108167620	7	0	7	0	1
chr1	42399265	42427644	Gm36678	1	5	6	0	0.17
chr1	42560406	42573333	LOC108167621	2	0	2	0	1
chr1	42598930	42641594	Gm30248	82	1	83	23.061	0.99
chr1	42648199	42694825	Pantr1	180	231	411	-2.169	0.44
chr1	42682364	42696565	Gm42411	15	13	28	0.371	0.54
chr1	42697145	42700210	Pou3f3	116	107	223	0.529	0.52
chr1	42700335	42703176	2900092D14Rik	44	46	90	-0.339	0.49
chr1	42707060	42713454	Pantr2	54	35	89	1.555	0.61
chr1	42738846	42744791	LOC108167622	23	6	29	2.936	0.79
chr1	42750711	42752886	Dalir	23	3	26	4.357	0.88
chr1	42762306	42774147	LOC108167623	2	9	11	-1.485	0.18
chr1	42851232	42905683	Mrps9	404	307	711	3.807	0.57
chr1	42936622	42952667	Gm39633	14	4	18	1.811	0.78
chr1	42952871	43035451	Gpr45	141	117	258	1.119	0.55
chr1	43047264	43098637	Tgfbrap1	477	514	991	-0.898	0.48
chr1	43056055	43057134	Gm28782	2	11	13	-1.95	0.15
chr1	43092279	43093842	LOC108167597	5	1	6	0	0.83
chr1	43098709	43115946	AI597479	180	134	314	2.26	0.57
chr1	43123070	43198299	Fhl2	248	184	432	2.921	0.57
chr1	43246215	43309641	Gm29040	0	1	1	0	0
chr1	43445750	43570518	Nck2	155	140	295	0.683	0.53
chr1	43680425	43695980	Gm38628	1	0	1	0	1
chr1	43730601	43742564	1500015O10Rik	66	57	123	0.628	0.54
chr1	43747849	43827819	Uxs1	280	157	437	8.672	0.64
chr1	43887979	43889727	LOC102632770	22	0	22	6.623	1
chr1	43933864	44003000	Tpp2	191	185	376	0.4	0.51
chr1	44009398	44042588	Mettl21c	12	2	14	2.189	0.86
chr1	44055868	44082447	Ccdc168	3	0	3	0	1
chr1	44086612	44102495	Tex30	21	20	41	0.301	0.51
chr1	44106545	44118926	Kdelc1	65	45	110	1.459	0.59
chr1	44118961	44144771	Bivm	194	208	402	-0.588	0.48
chr1	44146980	44181260	Ercc5	208	161	369	2.083	0.56
chr1	44204069	44218931	Mettl21e	2	1	3	0	0.67
chr1	44551496	44796838	Gulp1	21	28	49	-0.708	0.43
chr1	44739674	44744949	4930521E06Rik	2	0	2	0	1
chr1	45311537	45349706	Col3a1	13	6	19	1.078	0.68
chr1	45374330	45503282	Col5a2	37	40	77	-0.387	0.48
chr1	45795152	45823638	Wdr75	336	238	574	4.606	0.59
chr1	45826150	45830144	Gm30900	0	1	1	0	0
chr1	45908069	45926536	Slc40a1	53	41	94	0.892	0.56
chr1	46065793	46373551	Dnah7b	78	17	95	10.086	0.82
chr1	46221791	46233437	Gm31046	4	0	4	0	1
chr1	46424244	46807477	Dnah7c	59	3	62	14.064	0.95
chr1	46807543	46925773	Slc39a10	760	733	1493	0.601	0.51
chr1	50900541	50914773	LOC108167624	14	0	14	4.214	1
chr1	50927522	51187270	Tmeff2	309	237	546	2.93	0.57
chr1	51218385	51333779	9330175M20Rik	119	100	219	0.951	0.54
chr1	51289125	51302960	Sdpr	99	84	183	0.823	0.54
chr1	51465805	51478414	Nabp1	44	31	75	1.082	0.59
chr1	51582166	51607520	Gm17767	3	0	3	0	1
chr1	51749757	51915978	Myo1b	390	258	648	6.916	0.6
chr1	51916286	51919988	Gm33795	1	2	3	0	0.33
chr1	51987105	52107189	Stat4	7	12	19	-0.746	0.37
chr1	52107292	52113890	Gm31812	9	2	11	1.485	0.82
chr1	52119437	52161865	Stat1	153	170	323	-0.729	0.47
chr1	52163448	52233719	Gls	2592	2252	4844	6.259	0.54
chr1	52249319	52258151	Gm31867	2	3	5	0	0.4
chr1	52305614	52367667	Gm31955	1	3	4	0	0.25
chr1	52455848	52500448	Nab1	263	252	515	0.482	0.51
chr1	52504494	52520703	Gm553	3	4	7	0	0.43
chr1	52568534	52651919	Tmem194b	133	109	242	1.158	0.55
chr1	52656298	52727462	Mfsd6	588	697	1285	-2.89	0.46
chr1	52785424	52817688	Inpp1	340	240	580	4.723	0.59
chr1	52845037	52920986	Hibch	201	124	325	4.941	0.62
chr1	52922319	52991340	1700019D03Rik	41	42	83	-0.301	0.49
chr1	53061639	53068079	Mstn	4	3	7	0	0.57
chr1	53158572	53188650	1700019A02Rik	31	15	46	1.888	0.67
chr1	53189186	53297028	Pms1	59	49	108	0.714	0.55
chr1	53297094	53310245	Ormdl1	38	25	63	1.187	0.6
chr1	53312891	53326343	Osgepl1	251	507	758	-20.367	0.33
chr1	53344616	53352752	Asnsd1	79	92	171	-0.746	0.46
chr1	53396994	53708118	Dnah7a	17	41	58	-2.952	0.29
chr1	53704476	53760971	Gm32311	25	29	54	-0.466	0.46
chr1	53755511	53785215	Stk17b	70	62	132	0.567	0.53
chr1	53806871	54195034	Hecw2	433	411	844	0.629	0.51
chr1	54250660	54368727	Ccdc150	15	9	24	0.813	0.62
chr1	54395876	54439026	Gtf3c3	273	222	495	1.911	0.55
chr1	54442696	54447094	Gm34066	0	1	1	0	0
chr1	54448329	54456948	LOC108167366	0	1	1	0	0
chr1	54472999	54557684	Pgap1	198	174	372	0.934	0.53
chr1	54645339	54926732	Ankrd44	146	170	316	-1.01	0.46
chr1	54681197	54766354	4930444A19Rik	20	42	62	-2.447	0.32
chr1	54985168	55027493	Sf3b1	1534	1387	2921	2.462	0.53
chr1	55052769	55072702	Coq10b	326	233	559	4.317	0.58
chr1	55077833	55088217	Hspd1	88	74	162	0.814	0.54
chr1	55088147	55091317	Hspe1	291	141	432	12.654	0.67
chr1	55131244	55154899	Mob4	137	114	251	1.084	0.55
chr1	55170158	55227065	Rftn2	308	305	613	0.33	0.5
chr1	55226660	55235534	Gm10561	34	22	56	1.152	0.61
chr1	55237176	55240058	Mars2	60	36	96	2.035	0.62
chr1	55248710	55364059	Boll	9	15	24	-0.813	0.38
chr1	55404263	55405956	LOC108167625	1	2	3	0	0.33
chr1	55405945	55754285	Plcl1	351	347	698	0.342	0.5
chr1	55502041	55506499	Gm39642	2	0	2	0	1
chr1	55888971	55917219	Gm32949	1	17	18	-4.14	0.06
chr1	55931240	55972098	9130227L01Rik	3	9	12	-1.137	0.25
chr1	56793980	56980448	Satb2	113	117	230	-0.375	0.49
chr1	56971468	56975196	9130024F11Rik	14	20	34	-0.708	0.41
chr1	57002503	57042519	Gm38484	21	35	56	-1.39	0.38
chr1	57127308	57150615	LOC105243927	0	1	1	0	0
chr1	57200644	57214996	BC055402	1	0	1	0	1
chr1	57359221	57377544	4930558J18Rik	2	2	4	0	0.5
chr1	57377594	57385423	1700066M21Rik	100	88	188	0.675	0.53
chr1	57388234	57406674	Tyw5	49	55	104	-0.506	0.47
chr1	57406547	57415958	9430016H08Rik	30	22	52	0.78	0.58
chr1	57774161	57948398	Spats2l	129	114	243	0.734	0.53
chr1	57955100	57970084	Kctd18	103	131	234	-1.413	0.44
chr1	57985339	58026277	Sgol2a	10	5	15	0.821	0.67
chr1	58029805	58106410	Aox1	131	75	206	4.235	0.64
chr1	58113134	58200452	Aox3	27	27	54	-0.256	0.5
chr1	58115414	58140751	Gm39643	5	2	7	0	0.71
chr1	58210396	58268600	Aox4	5	31	36	-5.19	0.14
chr1	58278325	58379264	Aox2	17	3	20	2.89	0.85
chr1	58393135	58407354	Bzw1	127	107	234	0.97	0.54
chr1	58411987	58424088	Clk1	269	252	521	0.617	0.52
chr1	58430992	58445527	Ppil3	66	53	119	0.868	0.55
chr1	58445155	58462276	Nif3l1	131	76	207	4.094	0.63
chr1	58462770	58505109	Orc2	221	289	510	-2.828	0.43
chr1	58505134	58538839	Gm15834	757	647	1404	2.743	0.54
chr1	58522805	58586333	Fam126b	826	692	1518	3.497	0.54
chr1	58586396	58595964	Ndufb3	265	154	419	7.488	0.63
chr1	58652640	58655831	Gm20257	8	0	8	0	1
chr1	58656925	58696009	Als2cr12	6	11	17	-0.779	0.35
chr1	58711306	58759209	Cflar	73	104	177	-1.923	0.41
chr1	58795227	58847503	Casp8	19	18	37	0.301	0.51
chr1	58849790	58896695	Gm28802	5	10	15	-0.821	0.33
chr1	58900448	58973482	Trak2	1246	1140	2386	1.802	0.52
chr1	58973526	58995126	Stradb	129	111	240	0.866	0.54
chr1	58994772	59022925	Als2cr11b	5	5	10	-0.205	0.5
chr1	59100583	59120695	Tmem237	149	139	288	0.526	0.52
chr1	59120934	59163389	Mpp4	253	296	549	-1.438	0.46
chr1	59162755	59237231	Als2	646	662	1308	-0.47	0.49
chr1	59256860	59352612	Cdk15	3	5	8	0	0.38
chr1	59455327	59458627	Gm33774	0	1	1	0	0
chr1	59482146	59486955	Fzd7	81	70	151	0.682	0.54
chr1	59516263	59636417	Gm973	59	55	114	0.41	0.52
chr1	59542116	59548804	Gm28411	3	0	3	0	1
chr1	59582481	59596208	Gm39648	3	6	9	0	0.33
chr1	59612057	59619439	Gm33833	2	2	4	0	0.5
chr1	59639433	59670834	Sumo1	71	24	95	6.135	0.75
chr1	59684950	59711510	Nop58	62	37	99	2.113	0.63
chr1	59764269	59878081	Bmpr2	942	951	1893	-0.37	0.5
chr1	59913005	59985348	Fam117b	328	348	676	-0.634	0.49
chr1	59989067	60043512	Ica1l	316	317	633	-0.301	0.5
chr1	60076867	60098500	Wdr12	150	120	270	1.412	0.56
chr1	60098220	60153953	Carf	144	219	363	-4.312	0.4
chr1	60178624	60338328	Nbeal1	243	286	529	-1.47	0.46
chr1	60343299	60388060	Cyp20a1	118	55	173	6.024	0.68
chr1	60408997	60481945	Abi2	210	187	397	0.87	0.53
chr1	60471729	60567074	Raph1	364	341	705	0.691	0.52
chr1	60746387	60773359	Cd28	1	5	6	0	0.17
chr1	60860957	60894365	Gm38137	2	0	2	0	1
chr1	60960772	61000322	Icos	7	0	7	0	1
chr1	61306980	61355557	LOC105243939	4	0	4	0	1
chr1	61638666	62642284	Pard3b	49	52	101	-0.376	0.49
chr1	61770672	61864579	Pard3bos1	1	5	6	0	0.17
chr1	62703316	62818692	Nrp2	268	176	444	5.134	0.6
chr1	62711674	62718920	Gm29083	6	2	8	0	0.75
chr1	62790917	62794732	4930487H11Rik	13	4	17	1.61	0.76
chr1	62820454	62838167	Gm4208	0	3	3	0	0
chr1	62840310	62844365	Gm39652	2	0	2	0	1
chr1	62906175	62956594	Gm35252	1	2	3	0	0.33
chr1	63047800	63114267	Ino80d	144	155	299	-0.55	0.48
chr1	63114470	63158295	Ino80dos	648	552	1200	2.517	0.54
chr1	63143591	63176822	Ndufs1	509	492	1001	0.514	0.51
chr1	63176830	63180486	Eef1b2	288	257	545	1.003	0.53
chr1	63182570	63223350	Gpr1	4	3	7	0	0.57
chr1	63200357	63314576	Zdbf2	4	140	144	-36.101	0.03
chr1	63431304	63436457	Gm35393	1	2	3	0	0.33
chr1	63445881	63596104	Adam23	1213	1376	2589	-3.14	0.47
chr1	63615597	63620732	Gm39653	0	1	1	0	0
chr1	63622850	63686927	Dytn	5	3	8	0	0.62
chr1	63698826	63730318	Mdh1b	4	8	12	-0.713	0.33
chr1	63730598	63753385	Fastkd2	93	68	161	1.536	0.58
chr1	63754908	63769267	4933402D24Rik	60	24	84	4.271	0.71
chr1	63851920	63936247	Cpo	4	18	22	-2.663	0.18
chr1	63964726	63968999	Gm13749	1	1	2	0	0.5
chr1	64029447	64122328	Klf7	186	144	330	1.923	0.56
chr1	64121534	64242198	Gm35880	3	3	6	0	0.5
chr1	64246993	64256156	Gm39654	2	0	2	0	1
chr1	64279350	64298537	Gm35803	1	3	4	0	0.25
chr1	64516796	64521354	Gm36148	0	1	1	0	0
chr1	64532314	64604548	Creb1	170	173	343	-0.34	0.5
chr1	64606472	64618552	Mettl21a	67	45	112	1.631	0.6
chr1	64649477	64654018	Gm29152	1	0	1	0	1
chr1	64679868	64690659	2810408I11Rik	1	3	4	0	0.25
chr1	64691040	64725646	Ccnyl1	83	76	159	0.499	0.52
chr1	64730557	64737750	Fzd5	10	22	32	-1.601	0.31
chr1	64789119	64956824	Plekhm3	419	366	785	1.499	0.53
chr1	65013077	65032759	Akr1cl	0	3	3	0	0
chr1	65100388	65103363	Cryga	0	2	2	0	0
chr1	65105284	65123214	D630023F18Rik	47	46	93	0.301	0.51
chr1	65110865	65119014	Gm36358	9	14	23	-0.694	0.39
chr1	65158615	65186479	Idh1	146	103	249	2.417	0.59
chr1	65186637	65278696	Pikfyve	203	286	489	-3.995	0.42
chr1	65280281	65389625	Pth2r	21	13	34	0.94	0.62
chr1	66175245	66442583	Map2	5513	4241	9754	37.577	0.57
chr1	66468295	66699148	Unc80	1868	1865	3733	0.313	0.5
chr1	66649711	66653295	Gm39655	0	1	1	0	0
chr1	66700811	66719805	Rpe	102	49	151	5.016	0.68
chr1	66719242	66817596	Kansl1l	272	270	542	0.316	0.5
chr1	66738219	66762014	LOC108167626	51	60	111	-0.65	0.46
chr1	66779632	66793287	Gm39656	25	11	36	1.841	0.69
chr1	66830838	66863309	Acadl	275	216	491	2.357	0.56
chr1	66924294	66945473	Myl1	22	0	22	6.623	1
chr1	67000516	67038889	Lancl1	859	821	1680	0.737	0.51
chr1	67122425	67231267	Cps1	2	1	3	0	0.67
chr1	68031883	69110787	Erbb4	442	407	849	0.915	0.52
chr1	69431134	69444090	Gm28497	1	0	1	0	1
chr1	69531206	69687351	Ikzf2	41	39	80	0.341	0.51
chr1	69826871	70725132	Spag16	42	77	119	-3.068	0.35
chr1	70725220	70888938	Vwc2l	98	88	186	0.594	0.53
chr1	70851014	70918626	Gm29906	85	67	152	1.076	0.56
chr1	71027530	71103156	Bard1	11	8	19	0.49	0.58
chr1	71243089	71414910	Abca12	6	5	11	0.301	0.55
chr1	71557155	71579403	Atic	256	295	551	-1.278	0.46
chr1	71585472	71653234	Fn1	360	299	659	2.014	0.55
chr1	71653334	71662843	Apol7d	1	0	1	0	1
chr1	71672697	71712078	LOC108167627	2	2	4	0	0.5
chr1	71728538	71741345	Gm39660	2	0	2	0	1
chr1	71728539	71749807	Gm30160	2	0	2	0	1
chr1	72107141	72123738	Gm4319	1	0	1	0	1
chr1	72159232	72212307	Mreg	164	59	223	12.202	0.74
